Height [mm],Pressure [Atm]
8.3,0.31734
8.1,0.31714
7.9,0.31694
7.5,0.31784
7.5,0.31744
7.6,0.31744
7.7,0.31834
7.6,0.31794
7.8,0.31814
7.7,0.31884
7.6,0.31874
7.7,0.31794
7.6,0.31834
7.7,0.31824
7.8,0.31894
7.9,0.31854
7.9,0.31754
8,0.31834
8.2,0.31784
8,0.31894
7.8,0.31844
7.8,0.31804
8.1,0.31834
8.2,0.31804
8.1,0.31834
8.1,0.31854
8.2,0.31794
8.2,0.31814
8.2,0.31914
8.3,0.31904
8.2,0.31824
8.3,0.31934
8.2,0.31864
8.2,0.31914
8.2,0.31814
8.1,0.31824
8.2,0.31854
8.2,0.31884
8.1,0.31834
8.1,0.31924
8.3,0.31824
8.2,0.32654
8.1,0.35814
8.1,0.38744
8,0.40124
8.1,0.40304
8.2,0.40034
8,0.39674
7.9,0.39394
7.7,0.39104
7.7,0.38894
8.3,0.38834
8.2,0.38964
8.2,0.39044
8.2,0.39074
8.1,0.39174
8.1,0.39134
8.3,0.39174
8.2,0.39284
8.1,0.39304
8.3,0.39254
8.6,0.39214
8.8,0.39254
8.7,0.39314
8.8,0.39304
8.7,0.39354
8.8,0.39414
8.8,0.39244
8.8,0.39314
8.4,0.39294
8.2,0.39324
8.2,0.39234
8.3,0.39334
8.3,0.39324
8.3,0.39284
8.7,0.39274
8.7,0.39294
8.7,0.39324
8.6,0.39354
8.5,0.39344
8.8,0.39374
8.5,0.39384
8.8,0.39414
8.8,0.39444
8.8,0.39454
9,0.39474
9.1,0.39354
9,0.39384
9.1,0.39324
8.8,0.39274
8.8,0.39224
8.8,0.39254
8.7,0.39124
8.9,0.39144
9.3,0.39144
9.4,0.39224
9.3,0.39274
9.3,0.39354
8.8,0.39374
8.6,0.39464
8.8,0.39394
8.9,0.39424
8.7,0.39424
8.6,0.39404
8.8,0.39474
8.7,0.39474
8.8,0.39484
8.7,0.39464
8.8,0.39494
8.9,0.39454
9.1,0.39384
9.3,0.39424
9.2,0.39394
9.2,0.39374
9.4,0.39304
9.3,0.39324
9.3,0.39284
9.2,0.39324
8.8,0.39264
9,0.39294
8.9,0.39294
9.4,0.39344
9.4,0.39274
9.2,0.39154
9.2,0.39264
9.2,0.39164
9.3,0.39204
9.1,0.39164
9.4,0.39164
9.5,0.39224
9.3,0.39144
9.3,0.39234
9.3,0.39254
9.4,0.39334
9.4,0.39334
9.3,0.39364
9.1,0.39394
9.1,0.39384
8.9,0.39394
9,0.39384
9.1,0.39374
9.2,0.39324
8.9,0.39464
9,0.39354
8.9,0.39364
8.8,0.39334
8.9,0.39324
9.1,0.39444
9.3,0.39364
9.4,0.39374
9.4,0.39344
9.2,0.39324
9.3,0.39334
8.9,0.39294
9.1,0.39314
9.3,0.39304
9.2,0.39314
9.2,0.39334
9.4,0.39294
9.4,0.39374
9.3,0.39374
9.3,0.39324
9.4,0.39264
9.4,0.39344
9.4,0.39324
9.3,0.39314
9.3,0.39384
9.3,0.39344
9.7,0.39354
9.5,0.39414
9.6,0.39434
9.7,0.39424
9.6,0.39424
9.4,0.39414
9.4,0.39364
9.5,0.39284
9.7,0.39434
9.7,0.39374
9.8,0.39304
9.8,0.39334
9.8,0.39384
9.6,0.39354
9.8,0.39324
9.7,0.39364
9.8,0.39314
10,0.39324
9.9,0.39324
9.9,0.39294
9.8,0.39284
9.9,0.39254
9.8,0.39304
9.7,0.39324
9.9,0.39224
9.8,0.39344
9.8,0.40634
9.3,0.44214
9.6,0.47084
9.3,0.48334
9.4,0.48224
9.7,0.47974
9.8,0.47524
9.9,0.47234
9.9,0.46884
10,0.46784
9.9,0.46634
9.9,0.46604
9.9,0.46584
10,0.46624
9.9,0.46674
10.3,0.46624
10.4,0.46754
10.5,0.46744
9.8,0.46824
10.1,0.46764
9.8,0.46834
10,0.46814
10.1,0.46814
10.4,0.46794
10.5,0.46784
10.6,0.46804
10.3,0.46734
9.9,0.46744
9.9,0.46734
9.9,0.46694
9.8,0.46784
10,0.46724
10.1,0.46824
9.9,0.46704
9.8,0.46684
10.1,0.46754
10.4,0.46734
10.4,0.46744
10.5,0.46724
10.5,0.46754
10.6,0.46824
10.5,0.46734
10.3,0.46774
10.5,0.46814
10.5,0.46814
10.6,0.46804
10.5,0.46744
10.4,0.46824
10.5,0.46874
10.5,0.46804
10.5,0.46904
10.6,0.46874
10.4,0.46904
10.5,0.46884
10.4,0.46814
10.5,0.46784
10.5,0.46804
10.1,0.46764
10.1,0.46814
10.3,0.46864
9.9,0.46854
10.4,0.46754
10.4,0.46874
10.5,0.46714
9.9,0.46814
10.3,0.46834
10.4,0.46824
10.4,0.46834
10.5,0.46834
10.4,0.46894
10.4,0.46824
10.5,0.46924
10.6,0.46934
10.5,0.46974
10.6,0.46944
10.5,0.46954
10.5,0.47004
10.6,0.46974
10.4,0.47024
10.5,0.47024
10.5,0.47034
10.6,0.46994
10.5,0.47054
10.5,0.47074
10.6,0.47004
10.6,0.46934
10.6,0.46934
10.5,0.46954
10.2,0.46894
9.9,0.46834
10.1,0.46774
10.1,0.46894
